初中英语单词|devise|英[dɪ'vaɪz] 美[dɪ'vaɪz]|v. 设计，发明|he devised a new method for teaching the blind.|他设计出一种教导盲人的新方法。|初中英语单词
初中英语单词|English|英['ɪŋɡlɪʃ] 美['ɪŋɡlɪʃ]|n. 英语；英国人<br>adj. 英语的；英国人的；英国的|He spares no efforts to study English.<br>It is important for us to learn English.<br>The English are often regarded as being cold and reserved.<br>She has a good grasp of the English language.<br>Hunting foxes is a peculiarly English sport.<br>The English countryside looks at its best in spring.|他不辞劳苦地学习英语。<br>学习英语对我们来讲是很重要的。<br>人们往往认为英国人冷漠且保守。<br>她精通英语。<br>猎狐是英国人特有的运动。<br>英国的乡村在春天景色最美。|初中英语单词
初中英语单词|a|英[ə] 美[ə]|art. 一（个）；每一（个）；任一（个）<br>n. 英语字母表的第一个字母；学业成绩得优者；表示「最好」的符号|There is a pen on the table.<br>We have a problem.<br>Let's go to a Chinese restaurant.<br>A cat is an animal.|桌子上有一支笔。<br>我们有个问题。<br>我们去一家中餐餐馆。<br>猫是动物。|初中英语单词
初中英语单词|clock|英[klɒk] 美[klɑːk]|n. 时钟<br>v. 计时；打卡|The clock shows half past two.<br>This clock has outlasted several owners.<br>The silence was succeeded by the striking of a clock.<br>There must be something wrong with my clock.<br>Workers usually clock off at 5.30.<br>I usually clock in at 8 o'clock.<br>He clocked 9.8 seconds for the 100 metres.|时钟的针指著两点半。<br>这座时钟的寿命比它的几个主人的寿命都长。<br>时钟鸣响声打破了寂静。<br>我的钟一定是坏了。<br>工人们通常在 5 时 30 分下班。<br>我通常 8 点钟签到。<br>他 100 米跑了 9.|初中英语单词
初中英语单词|and|英[ənd] 美[ənd]|conj. 和；加；接着；那么|My father and mother went for a walk.<br>She majored in maths and physics (at university).<br>She demonstrated that 2 and 2 are four.<br>I drove up in front of the house and honked.<br>Work hard and you will be successful.|爸爸妈妈去散步了。<br>她（在大学）主修数学和物理。<br>她证明 2 加 2 等于四。<br>我将车开到屋子前面然后按喇叭。<br>努力工作，你就会成功。|初中英语单词
初中英语单词|pencil-box|英['penslbɒks] 美['penslbɒks]|n. 铅笔盒|I have put the pencil box in her desk.<br>He has a rubber in his pencil case.|我已经把铅笔盒放在她的课桌里了。<br>他铅笔盒里有块橡皮。|初中英语单词
初中英语单词|an|英[ən] 美[ən]|art.（用在元音音素前）一|He gave her an admiring glance.<br>I always rest for an hour after dinner.<br>Australia is an English speaking nation.|他向她投以敬慕的一瞥。<br>晚饭后，我总要休息一小时。<br>澳大利亚是一个讲英语的国家。|初中英语单词
初中英语单词|pencil|英['pensl] 美['pensl]|n. 铅笔；笔状物<br>vt. 用铅笔写|He erases pencil marks.<br>My pencil is blunt, could you lend me a knife to sharpen it?<br>I noted down his telephone number with a pencil near the telephone.<br>He took a pencil flashlight out of his pocket.<br>He penciled down his name on a piece of paper.|他擦去铅笔的痕迹。<br>我的铅笔钝了，你能借我把刀子削一削吗？<br>我用电话旁的一根铅笔记下了他的电话号码。<br>他从口袋中掏出一支笔形电筒。<br>他在一张纸上用铅笔写下了自己的名字。|初中英语单词
初中英语单词|ruler|英['ruːlə(r)] 美['ruːlər]|n. 尺子；划线板<br>n. 统治者；支配者|The ruler is divided into centimetres.<br>He reminded me not to forget to bring my ruler.<br>The colonists revolted against their British ruler.<br>The chairman is only the nominal ruler of the country.|在尺子上分厘米刻度。<br>他提醒我别忘了带尺子。<br>殖民地人民反抗他们的英国统治者。<br>主席只是那个国家名义上的统治者。|初中英语单词
初中英语单词|pen|英[pen] 美[pen]|n. 钢笔；笔；写作；围栏；雌天鹅<br>v. 写；把…关在圈中|The pen slips out of my fingers.<br>Put down my pen and stop fiddling!<br>He dipped his pen in the ink.<br>She fumbled about in her handbag for a pen.<br>The duke wrote a letter with a quill pen.<br>He lives by his pen.<br>The safest is the infantile bed that holds good pen.<br>She penned a few words of thanks.|钢笔从我指缝中滑下去了。<br>把我的钢笔放下，别用手玩弄！<br>他拿钢笔蘸墨水。<br>她在手提袋中搜寻钢笔。<br>公爵用一根羽毛笔写信。<br>他以写作为生。<br>最安全的是装好围栏的婴儿床。<br>她写了几句致谢的话。|初中英语单词
初中英语单词|sharpener|英['ʃɑːpnə(r)] 美['ʃɑːrpnər]|n. 卷笔刀；研磨者；研磨工具|Nobody else has a pencil sharpener.<br>The boy is sharpening his pencils with a sharpener.|再没有谁有卷笔刀了。<br>那男孩正在用卷笔刀削铅笔。|初中英语单词
初中英语单词|eraser|英[ɪ'reɪzə(r)] 美[ɪ'reɪsər]|n. 橡皮擦；擦除器|The eraser is in the pencil-box.<br>Life is to paint without an eraser.|橡皮擦在文具盒里面。<br>生命是绘一幅画，手中却无橡皮擦。|初中英语单词
初中英语单词|room|英[ruːm] 美[ruːm]|n. 房间；空间；机会<br>v. 寄宿；给…提供留宿|I groped for the light switch in the dark room.<br>He bounced into the room with a springy step.<br>There is no more room in the computer file.<br>There is no room for innovation in standards.<br>He needs room to develop his skill as a painter.<br>She was going to have room for the energies.<br>He's rooming with my friend Alan.|我在黑暗的房间里摸索着找电灯开关。<br>他以轻快的跑步跳进房间。<br>计算机文件里没有空间了。<br>在标准化的过程中没有革新的空间。<br>他需要机会提高他作为画家的绘画技巧。<br>她施展抱负的机会将要来临。<br>他住在我的朋友艾伦家里。|初中英语单词
初中英语单词|book|英[bʊk] 美[bʊk]|n. 书；本子<br>v. 预订；记录在案|That student lost his book yesterday.<br>Write the essay in your (exercise-)books, not on rough paper.<br>I'll book you on a direct flight to London.<br>You'll have to book early if you want to see that fashion show.<br>He was booked on a charge of speeding.<br>He was booked by the referee for foul play.|那个学生昨天丢了书。<br>把文章写在练习簿里，不要写在草稿纸上。<br>我将为你预订直飞伦敦的航班。<br>你要想看那场时装表演的话，就得早点儿定座位。<br>他因超速开车而被记录在案。<br>他因为动作犯规而被裁判记下姓名。|初中英语单词
初中英语单词|map|英[mæp] 美[mæp]|n. 地图<br>vt. 绘制地图；计划|Paste down the map on the board.<br>I pricked the map with a pin to show our route.<br>It is hard to map all the regions of big countries.<br>So for those types of people, the MAP program is very excellent.<br>It really depends on the map makers and our schedule.|把这张地图用浆糊贴在布告板上。<br>我用大头针在地图上扎孔标出我们的路线。<br>为幅员辽阔的国家绘制地图，想把每个地区都详细标注是件困难的事。<br>因此对于那些类型的人，地图的计划是非常出色的。<br>这取决于地图制作者和计划时间表。|初中英语单词
初中英语单词|desk|英[desk] 美[desk]|n. 书桌；服务台；柜台；部门；小台架|There are three books on the desk.<br>The speaker had a sheaf of notes on the desk in front of him.<br>He was rifling through her desk in a desperate search for the letter.<br>This kind of desk can be adjusted to the height you need.<br>You may leave your key at the reception desk.<br>The couple went to check in at the front desk.<br>Jefferies is running the sports desk.|书桌上有三本书。<br>演讲者在他面前的桌子上放着一叠笔记。<br>他拼命在她的书桌里搜寻那封信。<br>这种书桌的高低可以按照你的需要调节。<br>你可以把钥匙留在服务台。<br>夫妻到前方柜台登记住入旅馆。<br>杰弗里斯负责体育新闻组。|初中英语单词
初中英语单词|cup|英[kʌp] 美[kʌp]|n. 杯子；一杯之量；奖杯；罩杯<br>vt. 使成杯形；把某物放入杯中|This cup is made of stainless steel.<br>Please fill the cup with water.<br>Would you like a cup of tea?<br>Eight horses will race for the cup.<br>When we want to hear something more clearly we cup our hands behind our ears.|这只杯子是不锈钢做的。<br>请把这个杯子装满水。<br>你想喝杯茶吗？<br>将有八匹马参赛争夺奖杯。<br>我们想听得更清晰一些时，就把双手弯成杯状放在耳后。|初中英语单词
初中英语单词|bag|英[bæɡ] 美[bæɡ]|n. 袋；袋状物；包；一袋的量<br>vt. 把……装进袋子；使膨胀；猎杀<br>vi.（如袋子般）松垂|He lost his travelling bag when he crossed the desert.<br>The boxer's fist thumped into the punching bag.<br>He put his bag on the luggage rack.<br>The cat had not been fed for weeks and was just a bag of bones.<br>He brought me a bag of almond paste.<br>They bagged the potatoes to sell them.<br>A stiff breeze made the sails bag out.|他在穿越沙漠的时候丢失了他的旅行袋。<br>拳师猛击吊袋。<br>他把包放在行李架上。<br>那只猫已有几个星期没喂食了，简直成了皮包骨。<br>他给我带来一袋杏仁软糖。<br>他们把土豆装入袋中出售。<br>一股劲风吹得船帆鼓了出来。|初中英语单词
初中英语单词|computer|英[kəm'pjuːtə(r)] 美[kəm'pjuːtər]|n. 电脑；计算机|I'm getting a new computer for birthday present.<br>This computer company was established last year.<br>In addition to giving a general introduction to computer, the course also provides practical experience.<br>I am a computer operator.<br>We should be watchful of computer viruses.<br>We make copies of our computer disks as a safeguard against accidents.|我得到一台电脑作生日礼物。<br>这家电脑公司是去年成立的。<br>课程除了一般介绍电脑知识外，还提供实际操作的机会。<br>我是一名计算机操作人员。<br>我们应该警惕计算机病毒。<br>我们复制了计算机磁盘以防意外。|初中英语单词
初中英语单词|mouse|英[maʊs] 美[maʊs]|n. 老鼠；胆小如鼠的人；鼠标<br>v. 捕鼠；仔细搜寻；移动鼠标至……之上|The mouse scurried into its hole when the cat appeared.<br>The cat is playing with a live mouse.<br>He remained a mouse in public affairs.<br>My mouse is broken, so I need to get a new one.<br>Does your cat mouse well?<br>The burglar moused about for valuables.<br>Mouse over the link in the original message.|猫一露面，老鼠急忙钻进自己的洞里。<br>猫在戏弄那只活老鼠。<br>在公众事务上他依然胆小如鼠。<br>我的鼠标坏了，得去买个新的。<br>你家的猫很会抓老鼠吗？<br>窃贼鬼鬼祟祟地四处搜寻值钱之物。<br>移动鼠标至原始信息的链接上。|初中英语单词
